Name,Origin,Rating
Khao Soi,Northern Thailand,6
Tonkotsu Ramen,"Fukuoka, Japan",1
Kasspatzln,"Tyrol, Austria",1
Youpo Mian,"Xi'an, China",8
Pho Dac Biet,Vietnam,6
Niurou Mian,Taiwan,4
Char Kway Teow,Singapore,4
Lagman,Uzbekistan,7
Mee Goreng Mamak,Malaysia,8
Kasespatzle,"Baden-Wurttemberg, Germany",7
Ash Reshtah,Iran,9
Jajangmyeon,South Korea,4
Ohn No Khao Swe,Myanmar,4
Mie Aceh,"Aceh, Indonesia",1
Pancit Palabok,Philippines,3
Tsuivan,Mongolia,3
Idiyappam,"Tamil Nadu, India",6
Soul Mac & Cheese,Southern United States,3
Pastitsio,Greece,6
Tagliatelle al Ragu,Italy,8
